Store Number,Store Type,Address,City,State,Zip Code,Phone Number,Play Place,Drive Thru,Arch Card,Free Wi-Fi,Latitude,Longitude
154,Freestanding,1072 North Henderson Street,Galesburg,IL,61401-2553,(309) 343-8340,N,Y,Y,Y,40.960592,-90.383623
,,,,,,,,,,,,
156,Freestanding,255 E Coliseum Blvd,Fort Wayne,IN,46805-1002,(260) 483-1212,N,Y,Y,Y,41.118651,-85.139342
,,,,,,,,,,,,
158,Freestanding,"1831 Sherman Blvd., West",Muskegon,MI,49441-3428,(231) 755-2585,N,Y,Y,Y,43.205295,-86.289701
,,,,,,,,,,,,
159,Freestanding,1620 Service Dr,Winona,MN,55987-2177,(507) 452-9488,N,Y,Y,Y,44.051136,-91.68148
,,,,,,,,,,,,
160,Freestanding,730 Route 18 North,East Brunswick,NJ,8816,(732) 257-8383,N,Y,Y,Y,40.428017,-74.382339
,,,,,,,,,,,,
162,Freestanding,1513 S Hastings Way,Eau Claire,WI,54701-4464,(715) 835-9919,N,Y,Y,Y,44.802458,-91.469387
,,,,,,,,,,,,
163,Freestanding,699 S Military Rd,Fond Du Lac,WI,54935-4702,(920) 922-7070,N,Y,Y,Y,43.763684,-88.466201
,,,,,,,,,,,,
164,Freestanding,3512 Calumet Ave,Manitowoc,WI,54220-5430,(920) 682-5592,N,Y,Y,Y,44.083625,-87.691753
,,,,,,,,,,,,
165,Freestanding,3137 S 76Th St,Milwaukee,WI,53219-3702,(414) 321-1520,N,Y,Y,Y,42.987331,-88.00806
,,,,,,,,,,,,
166,Freestanding,1630 S Hillside,Wichita,KS,67211-4019,(316) 686-9612,N,Y,Y,Y,37.664004,-97.298349
,,,,,,,,,,,,
168,Freestanding,1825 S Macarthur Blvd,Springfield,IL,62704-4029,(217) 546-5323,Y,Y,Y,Y,39.780538,-89.668691
,,,,,,,,,,,,
169,Freestanding,407 W Prospect,Jackson,MI,49203-4008,(517) 782-9829,N,Y,Y,Y,42.226937,-84.415859
,,,,,,,,,,,,
171,Freestanding,205 Business Loop,Columbia,MO,65201,(573) 443-7785,N,Y,Y,Y,38.965145,-92.334905
,,,,,,,,,,,,
173,Freestanding,10915 W National Ave,West Allis,WI,53227,(414) 543-6440,Y,Y,Y,Y,42.99282,-88.047909
,,,,,,,,,,,,
174,Freestanding,22535 Lorain Rd.,Fairview Park,OH,44126-2211,(440) 734-2033,N,Y,Y,Y,41.439224,-81.869367
,,,,,,,,,,,,
179,Freestanding,918 N Euclid Ave,Bay City,MI,48706,(989) 684-3626,N,Y,Y,Y,43.613397,-83.914098
,,,,,,,,,,,,
180,Freestanding,4219 Main St,Bridgeport,CT,6606,(203) 371-5879,N,Y,Y,Y,41.217571,-73.215118
,,,,,,,,,,,,
181,Freestanding,2440 8Th Ave,Greeley,CO,80631-7035,(970) 352-6786,Y,Y,Y,Y,40.398691,-104.690574
,,,,,,,,,,,,
183,Freestanding,3839 Hempstead Turnpike,Levittown,NY,11756,(516) 731-9112,Y,Y,Y,Y,40.72599,-73.494095
,,,,,,,,,,,,
187,Freestanding,2901 Wilmington Pike,Kettering,OH,45419,(937) 299-8643,N,Y,Y,Y,39.704774,-84.14269
,,,,,,,,,,,,
188,Freestanding,4700 South Cedar Street,Lansing,MI,48910-5470,(517) 393-8678,N,Y,Y,Y,42.686458,-84.54853
,,,,,,,,,,,,
189,Freestanding,1915 W Main St,St. Charles,IL,60174,(630) 377-7445,N,Y,Y,N,41.912323,-88.337488
,,,,,,,,,,,,
190,Freestanding,2401 S College Ave,Fort Collins,CO,80525-1725,(970) 482-1612,N,Y,Y,Y,40.556045,-105.077633
,,,,,,,,,,,,
191,Freestanding,812 W Columbia,Battle Creek,MI,49015-3030,(269) 964-2578,Y,Y,Y,Y,42.298625,-85.214737
,,,,,,,,,,,,
192,Freestanding,1101 Summit Ave,Greensboro,NC,27405,(336) 274-7328,N,Y,Y,Y,36.089103,-79.774628
,,,,,,,,,,,,
193,Freestanding,1385 Niagara Falls Blvd,Amherst,NY,14226,(716) 833-2159,N,Y,Y,Y,42.991835,-78.821843
,,,,,,,,,,,,
197,Freestanding,2021 E Market St,Akron,OH,44305,(330) 733-3666,N,Y,Y,Y,41.061232,-81.454996
,,,,,,,,,,,,
198,Freestanding,1724 Middle Country Rd,Centereach,NY,11720,(631) 732-5254,Y,Y,Y,Y,40.859695,-73.072678
,,,,,,,,,,,,
200,Freestanding,10775 Lee Hwy,Fairfax,VA,22030,(703) 591-7557,N,Y,Y,Y,38.854789,-77.31566
,,,,,,,,,,,,
201,Freestanding,57 Boston Post Road,Orange,CT,06477-3237,(203) 799-8214,N,Y,Y,Y,41.27862,-72.987816
,,,,,,,,,,,,
202,Freestanding,4605 Central Ave Ne,Minneapolis,MN,55421-2435,(763) 571-7416,Y,Y,Y,Y,45.052124,-93.246895
,,,,,,,,,,,,
203,Freestanding,12109 Ne Glisan Street,Portland,OR,97220,(503) 252-8057,N,Y,Y,Y,45.526722,-122.538215
,,,,,,,,,,,,
204,Freestanding,2211 Greenbay Road,North Chicago,IL,60064-3006,(847) 473-1699,N,Y,Y,Y,42.318938,-87.865492
,,,,,,,,,,,,
207,Freestanding,1154 Union Rd,West Seneca,NY,14224,(716) 674-7170,N,Y,Y,Y,42.831235,-78.754092
,,,,,,,,,,,,
209,Freestanding,3093 Hamilton Blvd,Sioux City,IA,51104-2407,(712) 255-4772,N,Y,Y,Y,42.523697,-96.417769
,,,,,,,,,,,,
210,Freestanding,G-3391 S Saginaw St,Burton,MI,48529-1244,(810) 743-1120,N,Y,Y,Y,42.978363,-83.673123
,,,,,,,,,,,,
211,Freestanding,2306 University Blvd,Hyattsville,MD,20783-2660,(301) 422-0220,N,Y,Y,Y,38.984558,-76.970613
,,,,,,,,,,,,
212,Freestanding,1771 S Erie Blvd,Hamilton,OH,45011-4117,(513) 868-7222,N,Y,Y,Y,39.378362,-84.550377
,,,,,,,,,,,,
216,Freestanding,805 W Lincoln Hwy,Dekalb,IL,60115,(815) 756-5202,Y,Y,Y,Y,41.931531,-88.768113
,,,,,,,,,,,,
217,Freestanding,51 Tunnel Rd,Asheville,NC,28805,(828) 254-6715,Y,Y,Y,Y,35.595474,-82.533182
,,,,,,,,,,,,
219,Freestanding,11025 E Colfax Ave,Aurora,CO,80010-2502,(303) 364-5212,Y,Y,Y,Y,39.740594,-104.859771
,,,,,,,,,,,,
220,Freestanding,5900 Menaul Blvd Ne,Albuquerque,NM,87110-3240,(505) 884-3517,N,Y,Y,Y,35.108677,-106.577919
,,,,,,,,,,,,
221,Freestanding,334 E Montauk Hwy,Lindenhurst,NY,11757,(631) 226-5313,Y,Y,Y,Y,40.684116,-73.353348
,,,,,,,,,,,,
222,Freestanding,3212 Clio Road,Flint,MI,48504-7161,(810) 239-9211,N,Y,Y,Y,43.045381,-83.73213
,,,,,,,,,,,,
223,Freestanding,2223 W Main St,Rapid City,SD,57702,(605) 342-3483,N,Y,Y,Y,44.081549,-103.256461
,,,,,,,,,,,,
225,Freestanding,374 East Main Street,Newark,DE,19711-7149,(302) 737-0502,N,Y,Y,Y,39.685636,-75.737484
,,,,,,,,,,,,
226,Freestanding,2535 E Lincolnway,Cheyenne,WY,82001-5449,(307) 632-1222,Y,Y,Y,Y,41.138131,-104.786108
,,,,,,,,,,,,
229,Freestanding,4757 West Tuscarawas Ave,Canton,OH,44708-5340,(330) 478-1684,Y,Y,Y,Y,40.795463,-81.435735
,,,,,,,,,,,,
231,Freestanding,1966 Hwy 27,Edison,NJ,8817,(732) 985-3311,N,Y,Y,Y,40.519901,-74.395309
,,,,,,,,,,,,
232,Freestanding,1905 S Federal Blvd,Denver,CO,80219-5509,(303) 934-6836,Y,Y,Y,Y,39.681991,-105.025599
,,,,,,,,,,,,
234,Freestanding,801 Rt 38,Cherry Hill,NJ,8002,(856) 665-9601,N,Y,Y,Y,39.936084,-75.044145
,,,,,,,,,,,,
235,Freestanding,925 San Pedro Dr Ne,Albuquerque,NM,87108-1849,(505) 265-4275,N,Y,Y,Y,35.086944,-106.577731
,,,,,,,,,,,,
236,Freestanding,7916 Montgomery Road,Cincinnati,OH,45236-4304,(513) 791-5553,N,Y,Y,Y,39.19985,-84.376142
,,,,,,,,,,,,
240,Freestanding,2425 E 79Th St,Chicago,IL,60649,(773) 768-0153,N,Y,Y,Y,41.751366,-87.565351
,,,,,,,,,,,,
241,Freestanding,1390 Rockville Pike,Rockville,MD,20852,(301) 881-6811,N,Y,Y,Y,39.068187,-77.128655
,,,,,,,,,,,,
242,Freestanding,1999 Jericho Trnpike,East Northport,NY,11731,(631) 499-9762,Y,Y,Y,Y,40.838955,-73.327835
,,,,,,,,,,,,
248,Freestanding,"3814 Plainfield Road, N.E.",Grand Rapids,MI,49525,(616) 361-7133,Y,Y,Y,Y,43.031887,-85.625568
,,,,,,,,,,,,
249,Freestanding,510 N Orchard,Boise,ID,83704,(208) 336-0711,N,Y,Y,Y,43.609385,-116.242896
,,,,,,,,,,,,
250,Freestanding,5170 Park Blvd,Pinellas Park,FL,33781-3414,(727) 544-7333,Y,Y,Y,Y,27.838784,-82.703379
,,,,,,,,,,,,
252,Freestanding,1107 N Navy Blvd,West Pensacola,FL,32507-1250,(850) 456-3365,Y,Y,Y,Y,30.405824,-87.275594
,,,,,,,,,,,,
253,Freestanding,3510 Duke St,Alexandria,VA,22304,(703) 370-5365,N,Y,Y,Y,38.808568,-77.09081
,,,,,,,,,,,,
255,Freestanding,746 San Souci Hwy,Wilkes Barre,PA,18702,(570) 829-9846,N,Y,Y,Y,41.231926,-75.921241
,,,,,,,,,,,,
256,Freestanding,1711 South Saginaw Rd.,Midland,MI,48640-2631,(989) 832-5932,Y,Y,Y,Y,43.615011,-84.213873
,,,,,,,,,,,,
258,Freestanding,5600 Preston Hwy,Louisville,KY,40219-1304,(502) 969-9272,N,Y,Y,Y,38.168409,-85.706865
,,,,,,,,,,,,
260,Freestanding,3024N Main Street,Anderson,SC,29625,(864) 226-9874,N,Y,Y,Y,34.537058,-82.666678
,,,,,,,,,,,,
261,Freestanding,4501 Linden Ave,Dayton,OH,45432-3025,(937) 256-7901,N,Y,Y,Y,39.743502,-84.114295
,,,,,,,,,,,,
262,Freestanding,5114 Northfield Rd,Maple Heights,OH,44137-2107,(216) 581-0289,N,Y,Y,Y,41.421318,-81.527678
,,,,,,,,,,,,
264,Freestanding,2818 Magnolia Ave,Knoxville,TN,37918,(865) 637-0267,N,Y,Y,Y,35.991068,-83.889623
,,,,,,,,,,,,
265,Freestanding,925 Hwy 35,Middletown,NJ,7748,(732) 671-0925,Y,Y,Y,Y,40.39592,-74.105042
,,,,,,,,,,,,
268,Freestanding,300 Ohio River Blvd,Baden,PA,15005,(724) 869-2927,N,Y,Y,Y,40.633333,-80.229814
,,,,,,,,,,,,
270,Freestanding,130 N Main St,Elkhart,IN,46516-3037,(574) 293-6380,N,Y,Y,Y,41.688119,-85.973391
,,,,,,,,,,,,
273,Freestanding,1813 Merrick Rd,Merrick,NY,11566,(516) 868-4446,N,Y,Y,Y,40.653885,-73.555611
,,,,,,,,,,,,
274,Freestanding,14810 Baltimore Ave,Laurel,MD,20707-4856,(301) 953-3368,N,Y,Y,Y,39.094155,-76.855027
,,,,,,,,,,,,
276,Freestanding,1787 State Rd,Cuyahoga Falls,OH,44223-1305,(330) 923-3348,Y,Y,Y,Y,41.131108,-81.507729
,,,,,,,,,,,,
277,Freestanding,6225 Mayfield Rd,Mayfield Heights,OH,44124,(440) 461-6055,N,Y,Y,Y,41.520552,-81.455373
,,,,,,,,,,,,
278,Freestanding,226 Sibley Blvd,Dolton,IL,60419,(708) 849-2134,N,Y,Y,Y,41.623019,-87.628481
,,,,,,,,,,,,
280,Freestanding,720 Cleveland St,Rapid City,SD,57701,(605) 343-6984,N,Y,Y,Y,44.061666,-103.231191
,,,,,,,,,,,,
284,Freestanding,8040 Nicollet Ave,Bloomington,MN,55420-1230,(952) 888-6844,Y,Y,Y,Y,44.857845,-93.278999
,,,,,,,,,,,,
287,Freestanding,2351 N Verity Pky,Middletown,OH,45042-2464,(513) 423-1582,N,Y,Y,Y,39.526871,-84.385344
,,,,,,,,,,,,
288,Freestanding,3120 N Broadway,Knoxville,TN,37912,(865) 687-1647,N,Y,Y,Y,36.000893,-83.925265
,,,,,,,,,,,,
289,Freestanding,2300 N Walnut St,Bloomington,IN,47404,(812) 332-9618,N,Y,Y,Y,39.187175,-86.533684
,,,,,,,,,,,,
290,Freestanding,3507 S Franklin,Michigan City,IN,46361,(219) 872-0411,Y,Y,Y,Y,41.690455,-86.894232
,,,,,,,,,,,,
291,Freestanding,1273 S Robert St,West St. Paul,MN,55118,(651) 457-6683,Y,Y,Y,Y,44.907799,-93.081352
,,,,,,,,,,,,
292,Freestanding,3144 Nw Cache Rd,Lawton,OK,73505,(580) 351-9820,Y,Y,Y,Y,34.623079,-98.434648
,,,,,,,,,,,,
293,Freestanding,6421 Pearl Rd,Parma Heights,OH,44130,(440) 888-0313,Y,Y,Y,Y,41.385994,-81.768163
,,,,,,,,,,,,
294,Freestanding,2741 Leechburg Rd,Lower Burrell,PA,15068,(724) 335-2113,N,Y,Y,Y,40.590869,-79.73601
,,,,,,,,,,,,
295,Freestanding,1885 N Olden Ave,Trenton,NJ,8638,(609) 883-2815,N,Y,Y,Y,40.250119,-74.779661
,,,,,,,,,,,,
301,Freestanding,646 Farmington Ave,Bristol,CT,06010-3911,(860) 589-7313,N,Y,Y,Y,41.690398,-72.922442
,,,,,,,,,,,,
302,Freestanding,1912 E Higgins,Elk Grove Village,IL,60007-2503,(847) 437-7949,Y,Y,Y,Y,42.02176,-87.957224
,,,,,,,,,,,,
306,Freestanding,14845 Eureka Road,Southgate,MI,48195-2001,(734) 282-2712,N,Y,Y,Y,42.198738,-83.204666
,,,,,,,,,,,,
308,Freestanding,1111 Washington Blvd,Ogden,UT,84404-4950,(801) 621-1905,Y,Y,Y,Y,41.245583,-111.970455
,,,,,,,,,,,,
309,Freestanding,1491 Apple Avenue,Muskegon,MI,49442-3748,(231) 773-2131,N,Y,Y,Y,43.233888,-86.20696
,,,,,,,,,,,,
312,Freestanding,7734 Wise Ave,Baltimore,MD,21222,(410) 284-1560,N,Y,Y,Y,39.269102,-76.50039
,,,,,,,,,,,,
313,Freestanding,3200 S Minnesota Ave,Sioux Falls,SD,57105-5651,(605) 338-2222,N,Y,Y,Y,43.515547,-96.73074
,,,,,,,,,,,,
315,Freestanding,7969 N Milwaukee Ave,Niles,IL,60648,(847) 965-2391,N,Y,Y,Y,42.025813,-87.813292
,,,,,,,,,,,,
316,Freestanding,1901 N Main St,High Point,NC,27262,(336) 882-9824,N,Y,Y,Y,35.979622,-80.021757
,,,,,,,,,,,,
317,Freestanding,3117 S Topeka Ave,Topeka,KS,66611-2124,(785) 266-4770,Y,Y,Y,Y,39.0113,-95.688306
,,,,,,,,,,,,
318,Freestanding,483 N Main St,Marion,OH,43302-2330,(740) 382-6611,Y,Y,Y,Y,40.596491,-83.129911
,,,,,,,,,,,,
319,Freestanding,1201 24Th St,Port Huron,MI,48060-4849,(810) 985-5030,N,Y,Y,Y,42.970978,-82.453209
,,,,,,,,,,,,
320,Freestanding,3050 Dixie Highway,Erlanger,KY,41018-1826,(859) 341-8873,N,Y,Y,Y,39.021708,-84.588579
,,,,,,,,,,,,
324,Freestanding,957 Fairmont Ave,Jamestown,NY,14701,(716) 484-8157,N,Y,Y,Y,42.097119,-79.291649
,,,,,,,,,,,,
326,Freestanding,1660 Kennedy Dr,Carpentersville,IL,60110,(847) 428-9137,Y,Y,Y,Y,42.113227,-88.25833
,,,,,,,,,,,,
328,Freestanding,3918 Free Pike,Dayton,OH,45416-1212,(937) 278-1707,N,Y,Y,Y,39.797639,-84.253246
,,,,,,,,,,,,
329,Freestanding,188 East Dundee Road,Wheeling,IL,60090-3033,(847) 541-8487,N,Y,Y,Y,42.140083,-87.9112
,,,,,,,,,,,,
330,Freestanding,9475 Beaverton Hillsdale,Beaverton,OR,97005,(503) 646-1816,N,Y,Y,Y,45.486866,-122.774213
,,,,,,,,,,,,
335,Freestanding,5733 S Kedzie Ave,Chicago,IL,60639,(773) 471-1858,Y,Y,Y,Y,41.788561,-87.703214
,,,,,,,,,,,,
